数据库：分省年度数据,,,,,
指标：发电量(亿千瓦小时),,,,,
时间：最近10年,,,,,
地区,2017,2016,2015,2014,2013
北京市,388.4,434.39,421,363.97,336.01
天津市,611,617.55,623,625.52,624.26
河北省,2817.1,2630.59,2498,2499.9,2507.28
山西省,2823.94,2535.08,2449,2647.02,2641.11
内蒙古自治区,4435.94,3949.81,3929,3857.81,3567.14
辽宁省,1829.27,1778.76,1665,1647.82,1553.86
吉林省,800.33,760.26,731,771.73,778.68
黑龙江省,917.28,900.41,874,881.3,839.3
上海市,859.25,807.29,793,792.3,958.77
江苏省,4914.74,4709.37,4361,4347.57,4320.68
浙江省,3312.33,3197.66,3011,2885.29,2941.8
安徽省,2456.28,2252.69,2062,2033.91,1970.04
福建省,2200.67,2007.43,1901,1873.41,1777.18
江西省,1128.82,1085.35,982,873.33,875.41
山东省,5162.74,5329.27,4685,3691.12,3549.03
河南省,2739.63,2652.66,2625,2729.87,2864
湖北省,2615.46,2479.02,2341,2382.31,2237.26
湖南省,1434.67,1385.09,1314,1313.7,1355.53
广东省,4503.36,4263.66,4035,3948.39,3874.97
广西壮族自治区,1401.11,1346.51,1300,1310.03,1265.87
海南省,299.32,287.73,261,244.55,231.44
重庆市,728.1,701.19,680,675.8,630.03
四川省,3480.38,3273.85,3130,3079.44,2631.36
贵州省,1899.1,1903.99,1815,1747.67,1678.12
云南省,2955.06,2692.54,2553,2550.01,2180.51
西藏自治区,55.66,54.48,45,32.25,29.14
陕西省,1814.03,1757.41,1623,1620.78,1511.98
甘肃省,1349.15,1214.33,1242,1241.13,1201.94
青海省,626.59,552.96,566,580.32,611.08
宁夏回族自治区,1380.94,1144.38,1155,1156.57,1104.76
新疆维吾尔自治区,3010.78,2719.13,2479,2090.93,1667.82
